周り,"circumference, girth",周[まわ]り,Noun,"surroundings, neighbourhood, neighborhood, vicinity; people surrounding oneself, surrounding circumstances",,jlpt-n4
上げる,"to raise, to elevate",上[あ]げる,"Ichidan verb, Transitive verb","to do up (one's hair); to fly (a kite, etc.), to launch (fireworks, etc.), to surface (a submarine, etc.); to land (a boat); to deep-fry; to show someone (into a room); to give; to send someone (away); to enrol (one's child in school), to enroll; to increase (price, quality, status, etc.), to develop (talent, skill), to improve; to make (a loud sound), to raise (one's voice); to earn (something desirable); to praise; to give (an example, etc.), to cite; to summon up (all of one's energy, etc.); to arrest; to nominate; to summon (for geishas, etc.); to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.); to bear (a child); to conduct (a ceremony, esp. a wedding); (of the tide) to come in; to vomit; to do for (the sake of someone else); to complete ...; to humbly do ...",,jlpt-n2 jlpt-n4 jlpt-n5
腕,arm,腕[うで],Noun,"skill, efforts, ability",,jlpt-n4
人形,"doll, puppet, marionette",人形[にんぎょう],Noun,"puppet (person under the control of another), straw man, yes-man",,jlpt-n4
文化,"culture, civilization, civilisation",文化[ぶんか],Noun,Bunka era (1804.2.11-1818.4.22),,jlpt-n4
海岸,"coast, beach",海岸[かいがん],"Noun, Noun which may take the genitive case particle 'no'",,,jlpt-n4
産業,industry,産業[さんぎょう],"Noun, Noun which may take the genitive case particle 'no'","livelihood, occupation",,jlpt-n4
動物園,"zoo, zoological gardens",動物園[どうぶつえん],Noun,,,jlpt-n4
美術館,"art museum, art gallery",美術館[びじゅつかん],Noun,,,jlpt-n4
水道,"water supply, water service, waterworks, tap water",水道[すいどう],Noun,"channel, strait; water course, waterway",,jlpt-n4
飛行場,"airfield, airport",飛行場[ひこうじょう],Noun,,,jlpt-n4
葡萄,"grape, grapevine",ぶどう,Noun,,,jlpt-n4usually_kana
事故,"accident, incident, trouble",事故[じこ],Noun,"circumstances, reasons",,jlpt-n4
息子,son,息子[むすこ],Noun,penis,,jlpt-n4
生活,"life, living",生活[せいかつ],"Noun, Suru verb, Intransitive verb","livelihood, (one's) living",,jlpt-n4
注意,"attention, notice, heed",注意[ちゅうい],"Noun, Suru verb, Intransitive verb","care, caution, precaution, looking out (for), watching out (for); advice, warning, caution, reminder; admonishment, reprimand, telling-off",,jlpt-n4
生きる,"to live, to exist",生[い]きる,"Ichidan verb, Intransitive verb","to make a living, to subsist; to be in effect, to be in use, to function; to come to life, to be enlivened; to be safe (in baseball, go, etc.)",,jlpt-n4
女性,"woman, female",女性[じょせい],"Noun, Noun which may take the genitive case particle 'no'",feminine gender,,jlpt-n4
船,"ship, boat, watercraft, vessel, seaplane",船[ふね],Noun,"tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)",,jlpt-n3 jlpt-n4
説明,"explanation, exposition, description, account, caption, legend",説明[せつめい],"Noun, Suru verb, Transitive verb",,,jlpt-n4
警察,police,警察[けいさつ],Noun,"police officer; police station; self-appointed enforcer (of a rule, standard, etc.), busybody, vigilante, gatekeeper",,jlpt-n4
危険,"danger, peril, hazard",危険[きけん],"Noun, Na-adjective ",risk,,jlpt-n4
世界,"the world, society, the universe",世界[せかい],Noun,"sphere, circle, world; world-renowned, world-famous; realm governed by one Buddha, space",,jlpt-n4
戦争,war,戦争[せんそう],"Noun, Suru verb, Intransitive verb","fighting, fierce competition",,jlpt-n4
小説,"novel, story, (work of) fiction",小説[しょうせつ],Noun,,,jlpt-n4
関係,"relation, relationship, connection",関係[かんけい],"Noun, Suru verb, Intransitive verb","participation, involvement, concern; influence, effect; sexual relations, sexual relationship; related to, connected to",,jlpt-n4
研究,"study, research, investigation",研究[けんきゅう],"Noun, Suru verb, Transitive verb",,,jlpt-n4
会議,"meeting, conference, session, assembly, council, convention, congress",会議[かいぎ],"Noun, Suru verb, Intransitive verb, Transitive verb",,,jlpt-n4
音,"sound, noise",音[おと],Noun,(musical) note; fame,,jlpt-n1 jlpt-n3 jlpt-n4
普通,"normal, ordinary, regular, usual, common, average",普通[ふつう],"Noun which may take the genitive case particle 'no', Na-adjective ","normally, ordinarily, usually, generally, commonly; local train, train that stops at every station",,jlpt-n4
湖,lake,湖[みずうみ],Noun,,,jlpt-n4
夢,dream,夢[ゆめ],Noun,,,jlpt-n4
空港,airport,空港[くうこう],Noun,,,jlpt-n4
数学,mathematics,数学[すうがく],Noun,,,jlpt-n4
教育,"education, schooling, training, instruction, teaching, upbringing",教育[きょういく],"Noun, Suru verb, Transitive verb","culture, cultivation, education",,jlpt-n4
赤ちゃん,"baby, infant",赤[あか]ちゃん,Noun,,,jlpt-n1 jlpt-n4
火,"fire, flame, blaze",火[ひ],"Noun, Noun, used as a suffix",,,jlpt-n4
自由,"freedom, liberty",自由[じゆう],"Noun, Na-adjective ",,,jlpt-n4
森,forest,森[もり],Noun,shrine grove,,jlpt-n4
法律,law,法律[ほうりつ],Noun,,,jlpt-n4
気分,"feeling, mood",気分[きぶん],Noun,,,jlpt-n4
壁,"wall, partition",壁[かべ],Noun,"barrier, obstacle; Chinese ""Wall"" constellation (one of the 28 mansions)",,jlpt-n4
田舎,"rural area, countryside, the sticks",田舎[いなか],Noun,hometown,,jlpt-n4
